상가업소번호,상호명,상권업종중분류명,행정동명,경도,위도,기초지자체 방문자 비율,상권분류
MA010120220809113516,서울깍두기,한식,동천동,129.2290477,35.84650543,2.1,로컬상권
MA010120220813759950,카페안길,비알코올 ,천북면,129.2891985,35.9261959,3.4,로컬상권
MA010120220809108573,청실금,한식,건천읍,129.1210238,35.77211431,7.6,핫플레이스
MA010120220805131548,금장명가밀면,한식,현곡면,129.2027731,35.86603827,1.2,로컬상권
MA010120220809101001,페리카나치킨,기타 간이,동천동,129.2287292,35.85054801,2.1,로컬상권
MA010120220804789237,미르다방,비알코올 ,안강읍,129.2214273,35.98961355,3.2,로컬상권
MA010120220811940911,몽그리,주점,황남동,129.2097816,35.83698599,10.7,핫플레이스
MA010120220808128964,김복희대구뽈짐용황점,한식,황성동,129.2215701,35.88231615,3.2,로컬상권
MA010120220809491785,김박사아구찜,한식,양남면,129.4729776,35.6937682,4.6,로컬상권
MA010120220811085119,피크닉,주점,외동읍,129.3271126,35.71423936,5.0,핫플레이스
MA010120220811760281,왕창식당,한식,황남동,129.2049216,35.8369041,10.7,핫플레이스
MA010120220802973846,아이러브피자앤치킨,기타 간이,황성동,129.2112504,35.8675584,3.2,로컬상권
MA010120220809129357,송원숯불갈비,한식,외동읍,129.3253144,35.70901206,5.0,핫플레이스
MA010120220808459712,토담가마솥국밥,한식,외동읍,129.317928,35.7754709,5.0,핫플레이스
MA010120220808626161,엔젤그린푸드,구내식당·뷔페,외동읍,129.304987,35.67525367,5.0,핫플레이스
MA010120220805334067,하임스,비알코올 ,선도동,129.1685986,35.84929704,2.0,로컬상권
MA010120220808857106,영양숯불식당,한식,산내면,129.0464768,35.75781767,1.0,로컬상권
MA010120220809114541,포항식당,한식,강동면,129.242411,36.05716858,1.8,로컬상권
MA010120220805438507,카페알바트로스,비알코올 ,외동읍,129.3378339,35.71666248,5.0,핫플레이스
MA010120220809111710,대운토속식당,한식,보덕동,129.2632026,35.85399403,12.9,핫플레이스
MA010120220809120842,베스킨라빈스경주,기타 간이,성건동,129.2060003,35.85547286,3.3,로컬상권
MA010120220806623396,뒷고기땡기재,한식,동천동,129.2246217,35.8552465,2.1,로컬상권
MA010120220813180930,조은날,한식,양남면,129.4627109,35.67203012,4.6,로컬상권
MA010120220807883426,다올,한식,안강읍,129.2273241,35.99074758,3.2,로컬상권
MA010120220808058472,엄마손김밥,기타 간이,용강동,129.2229783,35.86258437,1.6,로컬상권
MA010120220800388298,장수식당,한식,용강동,129.2296078,35.88387912,1.6,로컬상권
MA010120220814232273,치킨스테이크,기타 간이,성건동,129.2067435,35.84395286,3.3,로컬상권
MA010120220806696973,드루와,주점,불국동,129.3072003,35.77270388,6.1,핫플레이스
MA010120220810259494,투다리식당,주점,성건동,129.214073,35.85203549,3.3,로컬상권
MA010120220814089920,황성독도식당,일식,황성동,129.219361,35.86584096,3.2,로컬상권
MA010120220810242878,시장커피숍,비알코올 ,성건동,129.2067435,35.84395286,3.3,로컬상권
MA010120220807560353,천일가든,한식,동천동,129.2239351,35.85483573,2.1,로컬상권
MA010120220813136786,스모프치킨산내점,기타 간이,산내면,129.0470103,35.75792573,1.0,로컬상권
MA010120220810423026,시계태엽더사로,비알코올 ,황오동,129.2146329,35.84709647,11.3,핫플레이스
MA010120220810234555,최박사,한식,불국동,129.3146834,35.78521051,6.1,핫플레이스
MA010120220809121914,솔밭오리진흙구이,한식,안강읍,129.1225296,35.98582741,3.2,로컬상권
MA010120220809131401,열이반점,중식,현곡면,129.2021167,35.86632062,1.2,로컬상권
MA010120220803408837,감포오리,한식,감포읍,129.5177059,35.8405309,4.5,로컬상권
MA010120220811888739,뚱이네,한식,성건동,129.1907738,35.86122093,3.3,로컬상권
MA010120220810424699,한동식육식당,한식,안강읍,129.1839961,36.00080715,3.2,로컬상권
