기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
감포읍,315973.0,4.5
강동면,127722.0,1.8
건천읍,532648.0,7.6
내남면,285369.0,4.1
동천동,146030.0,2.1
문무대왕면,170142.0,2.4
보덕동,906010.0,12.9
불국동,431214.0,6.1
산내면,73756.0,1.0
서면,59986.0,0.9
선도동,142758.0,2.0
성건동,230198.0,3.3
안강읍,224063.0,3.2
양남면,323442.0,4.6
외동읍,354116.0,5.0
용강동,112690.0,1.6
월성동,500269.0,7.1
천북면,240482.0,3.4
현곡면,82302.0,1.2
황남동,751849.0,10.7
황성동,225656.0,3.2
황오동,794602.0,11.3
